id,lon,lat,주차장,주정차,sumpark_sl,sumhouse_n,count,대중교?,sumbd_area,count_1,가점1,가점2,가점3,ADM_DR_NM,sum인구?,area,인구밀?,등록대?,경도_sum,위도_sum,주차원단위,법정원단위,가점4,순위
"429",129.09670,35.14259,"0",0.00000,,0.00000,6.00000,"0",9029.8500000000003638,5.0000000000000000,"6","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",774.582600,210.852430,5.428220,3.750940,"0","287"
"430",129.09670,35.14039,"1",0.00000,1207.00000,,,"0",166.9899999999999807,3.0000000000000000,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",387.290600,105.424390,2.635950,1.984380,"0","298"
"431",129.09670,35.13819,"6",19.00000,76.00000,138.00000,36.00000,"0",22974.4099999999998545,21.0000000000000000,"13","6","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",3227.433800,878.454720,21.760360,15.742630,"17","172"
"432",129.09670,35.13598,"35",376.00000,1226.00000,1101.00000,100.00000,"2",73772.8439999999827705,47.0000000000000000,"9","42","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",6842.126800,1862.183220,51.390970,37.370260,"48","52"
"433",129.09670,35.13378,"97",140.00000,634.00000,1182.00000,230.00000,"0",64581.7059999999837601,202.0000000000000000,"0","27","2",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",28013.984500,7624.029610,173.552870,127.289160,"200","39"
"435",129.09670,35.12937,"5",41.00000,28.00000,0.00000,13.00000,"1",1584.2500000000000000,6.0000000000000000,"0","7","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",1807.350600,491.824190,15.184710,11.078220,"6","243"
"458",129.09939,35.15581,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"459",129.09939,35.15361,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"460",129.09939,35.15141,"1",0.00000,574.00000,0.00000,1.00000,"0",46728.6200000000026193,1.0000000000000000,"0","0","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",129.099500,35.150990,0.832130,0.626450,"0","308"
"461",129.09939,35.14920,"0",0.00000,,0.00000,1.00000,"0",,,"0","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",129.098800,35.148110,0.828850,0.623980,"0","317"
